SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731946993.961255, -0.034716, -0.564583, -9.811887, -0.003914, 0.002426, -0.001094, , , 
1731946993.971200, -0.033220, -0.591966, -9.803358, -0.002924, 0.003492, -0.002075, , , 
1731946993.981190, -0.021398, -0.580744, -9.816526, -0.003410, 0.004024, -0.002331, , , 
1731946993.991271, -0.029030, -0.588674, -9.818621, -0.004807, 0.002853, -0.000253, , , 
1731946994.000947, -0.038158, -0.564433, -9.809493, -0.004083, 0.001356, -0.001160, , , 
1731946994.011289, -0.027234, -0.550966, -9.801862, -0.004324, 0.003793, -0.002795, , , 
1731946994.021204, -0.031574, -0.555904, -9.807099, -0.005513, 0.003266, -0.002255, , , 
1731946994.031192, -0.023792, -0.552612, -9.820866, -0.002578, 0.002829, -0.000846, , , 
1731946994.041281, -0.019453, -0.569371, -9.813683, -0.003560, 0.003005, -0.000574, , , 
1731946994.050803, -0.023643, -0.574010, -9.812785, -0.003532, 0.004459, -0.000835, , , 
1731946994.061282, -0.034117, -0.583138, -9.811738, -0.002802, 0.003892, -0.000937, , , 
1731946994.071214, -0.026935, -0.575506, -9.821314, -0.004053, 0.003544, -0.000858, , , 
1731946994.081190, -0.027384, -0.566378, -9.808745, -0.004478, 0.003535, -0.001296, , , 
1731946994.091257, -0.035015, -0.567426, -9.811139, -0.004355, 0.003218, -0.001600, , , 
1731946994.100791, -0.028880, -0.554856, -9.815479, -0.002887, 0.004961, -0.001692, , , 
1731946994.111280, -0.022745, -0.570867, -9.813982, -0.003198, 0.004147, -0.001290, , , 
1731946994.121206, -0.022446, -0.558148, -9.794380, -0.003970, 0.003156, -0.001587, , , 
1731946994.130931, -0.033369, -0.579247, -9.806201, -0.003403, 0.004142, 0.001216, , , 
1731946994.141247, -0.039654, -0.577452, -9.817723, -0.004250, 0.003198, 0.000964, , , 
1731946994.150705, -0.028431, -0.591817, -9.813084, -0.004525, 0.002200, -0.000907, , , 
1731946994.160978, -0.031873, -0.568623, -9.816227, -0.004524, 0.004115, -0.001310, , , 
1731946994.171228, -0.018705, -0.561590, -9.796774, -0.005686, 0.004659, -0.001258, , , 
1731946994.181230, -0.031723, -0.557101, -9.810391, -0.003556, 0.002394, -0.000989, , , 
1731946994.191250, -0.040552, -0.559046, -9.811289, -0.004385, 0.003307, -0.000695, , , 
1731946994.200561, -0.023792, -0.568174, -9.803208, -0.004520, 0.002504, -0.001709, , , 
1731946994.211220, -0.012121, -0.569072, -9.808296, -0.003642, 0.003581, -0.001321, , , 
1731946994.220288, -0.017657, -0.569371, -9.795427, -0.003854, 0.003756, -0.002085, , , 
1731946994.231205, -0.037409, -0.570269, -9.806949, -0.003088, 0.004105, -0.000353, , , 
1731946994.241322, -0.031424, -0.568623, -9.805752, -0.004488, 0.004120, -0.002408, , , 
1731946994.250522, -0.025139, -0.577601, -9.818471, -0.003232, 0.004416, -0.000354, , , 
1731946994.261200, -0.020500, -0.571915, -9.818022, -0.005710, 0.002148, -0.001958, , , 
1731946994.271251, -0.021697, -0.568473, -9.803508, -0.004041, 0.002587, -0.001577, , , 
1731946994.281276, -0.023643, -0.560692, -9.803059, -0.003369, 0.002568, -0.001499, , , 
1731946994.291251, -0.031424, -0.570419, -9.808895, -0.003883, 0.002793, -0.001819, , , 
1731946994.300462, -0.013018, -0.565331, -9.801413, -0.004492, 0.003000, 0.000189, , , 
1731946994.311205, -0.035464, -0.555604, -9.799916, -0.005067, 0.003561, -0.001117, , , 
1731946994.321206, -0.030227, -0.566528, -9.810989, -0.002378, 0.003080, -0.001286, , , 
1731946994.331220, -0.028880, -0.587477, -9.814730, -0.002893, 0.003572, -0.000705, , , 
1731946994.341327, -0.024241, -0.577601, -9.822512, -0.004869, 0.003137, -0.000726, , , 
1731946994.350320, -0.014664, -0.565630, -9.821165, -0.006211, 0.004634, -0.001012, , , 
1731946994.361206, -0.019453, -0.568324, -9.810241, -0.005139, 0.005155, -0.000642, , , 
1731946994.371218, -0.029628, -0.574908, -9.806650, -0.003942, 0.002349, -0.000977, , , 
1731946994.381211, -0.019303, -0.549918, -9.796475, -0.003412, 0.001051, -0.001549, , , 
1731946994.391248, -0.029628, -0.568623, -9.809044, -0.003218, 0.003950, -0.002441, , , 
1731946994.400221, -0.035015, -0.576105, -9.809343, -0.004742, 0.002740, -0.001105, , , 
1731946994.410941, -0.027982, -0.578649, -9.813683, -0.003539, 0.004729, -0.001825, , , 
1731946994.421213, -0.033668, -0.590919, -9.809493, -0.004347, 0.005128, -0.001186, , , 
1731946994.431279, -0.030825, -0.585532, -9.813084, -0.003862, 0.003401, -0.000677, , , 
1731946994.441257, -0.026785, -0.575955, -9.823559, -0.003817, 0.002069, -0.000077, , , 
1731946994.451211, -0.031574, -0.530465, -9.710882, -0.009675, 0.009471, -0.000131, , , 
1731946994.461205, -0.025438, -0.550666, -9.882217, -0.007088, 0.015853, -0.001111, , , 
1731946994.471281, -0.037709, -0.552462, -9.755025, -0.003300, 0.005548, -0.001006, , , 
1731946994.481224, -0.020949, -0.594510, -9.843461, -0.005866, -0.004110, 0.000510, , , 
1731946994.491269, -0.033818, -0.581342, -9.807398, -0.003812, 0.007472, -0.001748, , , 
1731946994.500221, -0.013916, -0.588674, -9.821913, -0.003264, 0.000795, -0.000063, , , 
1731946994.511204, -0.047585, -0.577601, -9.809343, -0.007899, -0.002651, -0.001100, , , 
1731946994.521286, -0.055366, -0.550068, -9.783606, -0.003201, 0.010435, -0.001973, , , 
1731946994.531226, -0.024541, -0.540042, -9.809643, -0.004910, -0.000960, -0.001316, , , 
1731946994.541276, -0.020500, -0.549320, -9.799467, -0.002917, 0.003002, -0.001497, , , 
1731946994.551212, -0.024541, -0.592565, -9.849895, -0.004987, 0.000424, -0.001189, , , 
1731946994.561210, -0.026336, -0.566229, -9.768642, -0.004068, 0.006857, 0.000150, , , 
1731946994.571289, -0.014365, -0.603638, -9.846154, -0.004325, 0.003266, -0.001368, , , 
1731946994.581213, -0.029179, -0.578948, -9.794529, -0.003669, 0.004153, -0.000405, , , 
1731946994.591250, -0.013467, -0.590021, -9.816077, -0.005293, 0.003200, -0.001094, , , 
1731946994.600268, -0.034716, -0.566528, -9.816676, -0.005816, 0.004084, -0.001245, , , 
1731946994.611215, -0.039654, -0.563386, -9.798719, -0.005548, 0.003510, -0.000743, , , 
1731946994.621219, -0.040701, -0.569221, -9.800365, -0.004762, 0.005286, -0.001215, , , 
1731946994.631224, -0.029928, -0.557550, -9.840019, -0.005645, 0.002341, -0.001944, , , 
1731946994.641255, -0.023942, -0.575656, -9.805303, -0.006383, 0.003144, -0.001607, , , 
1731946994.651218, -0.018106, -0.567276, -9.820117, -0.006435, 0.004452, -0.000772, , , 
1731946994.661216, -0.027833, -0.582988, -9.808296, -0.004498, 0.003384, -0.001473, , , 
1731946994.671214, -0.019453, -0.586729, -9.811139, -0.005864, 0.001888, -0.001628, , , 
