SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731955634.286151, 0.016610, 0.019004, -9.814880, -0.003192, 0.003736, -0.000150, , , 
1731955634.296157, 0.015712, 0.023343, -9.823409, -0.002887, 0.004438, -0.001373, , , 
1731955634.306204, 0.008080, 0.018854, -9.823260, -0.003793, 0.003642, -0.001340, , , 
1731955634.316180, 0.002394, 0.010774, -9.821913, -0.004367, 0.003657, -0.000709, , , 
1731955634.326163, 0.008978, 0.004639, -9.814581, -0.002829, 0.003519, -0.001105, , , 
1731955634.336169, 0.012270, 0.012719, -9.812636, -0.003606, 0.004084, -0.001334, , , 
1731955634.346152, 0.010624, 0.026486, -9.810989, -0.004848, 0.004837, -0.000762, , , 
1731955634.356209, 0.011372, 0.030227, -9.821464, -0.004263, 0.005235, -0.003317, , , 
1731955634.366149, 0.011522, 0.019303, -9.830442, -0.003242, 0.004885, 0.000092, , , 
1731955634.376160, 0.005088, 0.009726, -9.826552, -0.003023, 0.002983, -0.001159, , , 
1731955634.386147, 0.001796, 0.005986, -9.822512, -0.004570, 0.003607, 0.001407, , , 
1731955634.396151, 0.013916, 0.018555, -9.823260, -0.004173, 0.003605, -0.000527, , , 
1731955634.406191, 0.009128, 0.035913, -9.816975, -0.003693, 0.004119, -0.001634, , , 
1731955634.416191, 0.006734, 0.015862, -9.817125, -0.004251, 0.003365, -0.000720, , , 
1731955634.426149, 0.010774, 0.007183, -9.808895, -0.003439, 0.004302, -0.001934, , , 
1731955634.436167, 0.010774, 0.007183, -9.808895, -0.002496, 0.004850, -0.000053, , , 
1731955634.446150, 0.007632, 0.019154, -9.829844, -0.002416, 0.003542, -0.001498, , , 
1731955634.456189, 0.018705, 0.024989, -9.827749, -0.002927, 0.002958, -0.001008, , , 
1731955634.466148, 0.019004, 0.023194, -9.823858, -0.003762, 0.004263, -0.000244, , , 
1731955634.476150, 0.020500, 0.014664, -9.828347, -0.003261, 0.005633, -0.001157, , , 
1731955634.486149, 0.007931, 0.007183, -9.822212, -0.003669, 0.003987, 0.001175, , , 
1731955634.496174, 0.000150, 0.021997, -9.832537, -0.003908, 0.003171, -0.000179, , , 
1731955634.506198, 0.001347, 0.027833, -9.822960, -0.002838, 0.003705, -0.000693, , , 
1731955634.516175, 0.013018, 0.016161, -9.819519, -0.003554, 0.004883, -0.001098, , , 
1731955634.526143, 0.003442, 0.019752, -9.820417, -0.003573, 0.004182, -0.000461, , , 
1731955634.536154, 0.019303, 0.012420, -9.818022, -0.005653, 0.002750, -0.001233, , , 
1731955634.546148, 0.005237, 0.013318, -9.821763, -0.003581, 0.003464, -0.000420, , , 
1731955634.556190, 0.005986, 0.023643, -9.815928, -0.004613, 0.004555, -0.000606, , , 
1731955634.566142, 0.009427, 0.023343, -9.816676, -0.003275, 0.003017, -0.001599, , , 
1731955634.576153, 0.011522, 0.017508, -9.827899, -0.002809, 0.003377, -0.000098, , , 
1731955634.586153, 0.010624, 0.017807, -9.826701, -0.002977, 0.004628, 0.000055, , , 
1731955634.596185, -0.000599, 0.018854, -9.830442, -0.003376, 0.004930, 0.000918, , , 
1731955634.606154, 0.015263, 0.015413, -9.820117, -0.002325, 0.003541, -0.000418, , , 
1731955634.616214, 0.017059, 0.031723, -9.825205, -0.004146, 0.004405, -0.001913, , , 
1731955634.626167, 0.017059, 0.031723, -9.825205, -0.004136, 0.003318, -0.002939, , , 
1731955634.635590, -0.001646, 0.016161, -9.828497, -0.004827, 0.004567, -0.001225, , , 
1731955634.645417, 0.022446, 0.008978, -9.816676, -0.002131, 0.003149, -0.000218, , , 
1731955634.656157, 0.013467, 0.009876, -9.824158, -0.002682, 0.001678, -0.000917, , , 
1731955634.666186, 0.010475, 0.016460, -9.823559, -0.004490, 0.003968, -0.001370, , , 
1731955634.676145, 0.010475, 0.016460, -9.823559, -0.003446, 0.003882, -0.001783, , , 
1731955634.686156, 0.011223, 0.019303, -9.832088, -0.003704, 0.004621, -0.001607, , , 
1731955634.696207, 0.007931, 0.012270, -9.817125, -0.003089, 0.004669, -0.002091, , , 
1731955634.706228, 0.019603, 0.014515, -9.822661, -0.003749, 0.003818, 0.000336, , , 
1731955634.716158, 0.004788, 0.020800, -9.824457, -0.003906, 0.003557, -0.000773, , , 
1731955634.726210, 0.014964, 0.028282, -9.827001, -0.003465, 0.003837, -0.000554, , , 
1731955634.735367, 0.006135, 0.022745, -9.836129, -0.003235, 0.003394, -0.002560, , , 
1731955634.746187, 0.007781, 0.006285, -9.814730, -0.004530, 0.003725, -0.001950, , , 
1731955634.756260, 0.001047, 0.004938, -9.814431, -0.002112, 0.003963, -0.001570, , , 
1731955634.766154, 0.013018, 0.020201, -9.823110, -0.005203, 0.004018, -0.001662, , , 
1731955634.776230, 0.007482, 0.021697, -9.826701, -0.004788, 0.005718, -0.002477, , , 
1731955634.786172, 0.013467, 0.016161, -9.824307, -0.002573, 0.003109, -0.000113, , , 
1731955634.796087, 0.019902, 0.019603, -9.825953, -0.005162, 0.004155, -0.000658, , , 
1731955634.806216, 0.026486, 0.018405, -9.840618, -0.003991, 0.002148, -0.000823, , , 
1731955634.816233, 0.012570, 0.020201, -9.819369, -0.003057, 0.004528, -0.001753, , , 
1731955634.826155, 0.012420, 0.034866, -9.813084, -0.004571, 0.005186, -0.001049, , , 
1731955634.836223, 0.010774, 0.030825, -9.824307, -0.003357, 0.005219, -0.002114, , , 
1731955634.846225, 0.010475, 0.023643, -9.826552, -0.003168, 0.004923, -0.002076, , , 
1731955634.856211, 0.008679, 0.019752, -9.837326, -0.004170, 0.004233, -0.001076, , , 
1731955634.866234, 0.000599, 0.016011, -9.822811, -0.004309, 0.003307, -0.000326, , , 
1731955634.876222, 0.006434, 0.023643, -9.819668, -0.003610, 0.003784, -0.001689, , , 
1731955634.886156, 0.021548, 0.015113, -9.826851, -0.002431, 0.003701, -0.003321, , , 
1731955634.896231, 0.007632, 0.007632, -9.835231, -0.002283, 0.002786, -0.000253, , , 
1731955634.906254, 0.011522, 0.014066, -9.825355, -0.002958, 0.004157, -0.000349, , , 
1731955634.915773, 0.011821, 0.030975, -9.826701, -0.003054, 0.005189, -0.000753, , , 
1731955634.926207, 0.007332, 0.028730, -9.831789, -0.004016, 0.004372, -0.001065, , , 
1731955634.936152, 0.017657, 0.014216, -9.832537, -0.004121, 0.005251, -0.000965, , , 
1731955634.946192, 0.016310, 0.007781, -9.825355, -0.003521, 0.004249, -0.000929, , , 
1731955634.956237, 0.015562, 0.008380, -9.826402, -0.003657, 0.004909, -0.001104, , , 
1731955634.966147, 0.004190, 0.020051, -9.824756, -0.002830, 0.004662, -0.001161, , , 
1731955634.976179, 0.011672, 0.029778, -9.820417, -0.004111, 0.004498, -0.001495, , , 
1731955634.986146, 0.013318, 0.013916, -9.811289, -0.002700, 0.003777, 0.000229, , , 
1731955634.996221, 0.010325, 0.022745, -9.812037, -0.002653, 0.004360, -0.001592, , , 
1731955635.006194, 0.005537, 0.014066, -9.817424, -0.004776, 0.006523, -0.000914, , , 
1731955635.016161, 0.026486, 0.009278, -9.818920, -0.003257, 0.004987, -0.000204, , , 
1731955635.026111, 0.008380, 0.030676, -9.818172, -0.003844, 0.005688, -0.001781, , , 
1731955635.036215, 0.006734, 0.023343, -9.836278, -0.002795, 0.004269, -0.000241, , , 
1731955635.045593, -0.001197, 0.019154, -9.818771, -0.002901, 0.003489, -0.002634, , , 
1731955635.056187, 0.015862, 0.009726, -9.823409, -0.002558, 0.002411, -0.000356, , , 
1731955635.066169, 0.006434, 0.010774, -9.815928, -0.005157, 0.003468, -0.001015, , , 
1731955635.076025, 0.001945, 0.020351, -9.823559, -0.003556, 0.004842, -0.000109, , , 
1731955635.086267, 0.023643, 0.022296, -9.815329, -0.004237, 0.004136, 0.000289, , , 
1731955635.096147, 0.006285, 0.017059, -9.820716, -0.003562, 0.002816, -0.001597, , , 
1731955635.106188, 0.002544, 0.014365, -9.834932, -0.003154, 0.004484, -0.002874, , , 
1731955635.116145, 0.013318, 0.023493, -9.814431, -0.004347, 0.004417, -0.001238, , , 
