loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2024-10-16 18:49:08.367 +0200,225,812818.854042875,0.0010986328125,-0.024200439453125,-0.999481201171875,812818.8527998751,-0.000827177835162729,-0.00166607357095927,-0.0002133192028850317,812818.850727875,299.0578002929688,-224.9545288085938,-214.7329559326172
2024-10-16 18:49:08.384 +0200,226,812818.8639918751,0.001312255859375,-0.023651123046875,-0.99932861328125,812818.862748875,0.0009813748765736818,-0.002708168467506766,-0.003834951901808381,812818.861005875,298.8102416992188,-225.0903015136719,-214.8431854248047
2024-10-16 18:49:08.387 +0200,227,812818.8739408751,0.002105712890625,-0.023834228515625,-1.000076293945312,812818.872697875,0.0005187837523408234,-0.00207779835909605,0.0001611212501302361,812818.8712848751,298.8109741210938,-225.1040344238281,-215.0284271240234
2024-10-16 18:49:08.397 +0200,228,812818.883889875,0.0016326904296875,-0.0237579345703125,-0.999420166015625,812818.8826468751,0.001742772641591728,-0.002045041415840387,-0.001558215590193868,812818.881563875,298.7837829589844,-225.1269989013672,-215.0860595703125
2024-10-16 18:49:08.407 +0200,229,812818.893838875,0.00067138671875,-0.024383544921875,-1.000106811523438,812818.8925958751,0.00149856077041477,-0.001042627613060176,-0.001260474091395736,812818.8918438751,298.9102783203125,-225.1368560791016,-214.7261505126953
2024-10-16 18:49:08.417 +0200,230,812818.9037878751,0.0017242431640625,-0.026458740234375,-0.9998321533203125,812818.902544875,0.001376055297441781,-0.002977414056658745,-0.0006993460701778531,812818.9021218751,298.8707885742188,-225.1335601806641,-214.7413177490234
2024-10-16 18:49:08.427 +0200,231,812818.9137368751,-0.00018310546875,-0.0254669189453125,-0.9990386962890625,812818.912493875,0.001533181872218847,0.0006740460521541536,-0.0008346347021870315,812818.912400875,298.8073120117188,-225.1282501220703,-214.6890716552734
2024-10-16 18:49:08.437 +0200,232,812818.923685875,0.0028839111328125,-0.0263671875,-0.9990234375,812818.9224428751,0.0001552622852614149,-0.002907106652855873,-0.0006524744676426053,812818.922679875,298.9053344726562,-225.2785186767578,-215.0814208984375
2024-10-16 18:49:08.447 +0200,233,812818.933635875,0.0022735595703125,-0.0270843505859375,-0.99859619140625,812818.9323928751,0.003127083647996187,0.0003467435599304736,-0.0009944243356585503,812818.9329588751,298.8234252929688,-225.2834777832031,-214.7292327880859
2024-10-16 18:49:08.457 +0200,234,812818.9435848751,0.0022430419921875,-0.0256805419921875,-0.99932861328125,812818.9423418751,-0.0009241168736480176,-0.003491936717182398,-0.0009289105655625463,812818.943237875,299.0208740234375,-224.9423522949219,-214.8019104003906
2024-10-16 18:49:08.467 +0200,235,812818.9535338751,0.001220703125,-0.0248870849609375,-1.000167846679688,812818.952290875,0.001261273049749434,-0.0013512879377231,-0.002474609296768904,812818.953516875,298.9341735839844,-225.1421508789062,-214.7599182128906
2024-10-16 18:49:08.477 +0200,236,812818.963482875,0.003021240234375,-0.025970458984375,-0.999237060546875,812818.962239875,0.0006554039428010583,-0.002885268768295646,0.001230913097970188,812818.9637968751,299.1675109863281,-225.0062103271484,-215.0308990478516
2024-10-16 18:49:08.487 +0200,237,812818.973431875,0.004241943359375,-0.02593994140625,-0.9985198974609375,812818.9721888751,6.844323797849938e-05,-0.0006833671359345317,-0.0006053365068510175,812818.974076875,298.971435546875,-225.0761413574219,-215.0230712890625
2024-10-16 18:49:08.504 +0200,238,812818.9833808751,0.001495361328125,-0.0238800048828125,-1.0006103515625,812818.982137875,0.002355033298954368,-0.001957689644768834,-0.001174986711703241,812818.9843548751,298.9107666015625,-225.0494995117188,-214.7051544189453
2024-10-16 18:49:08.507 +0200,239,812818.9933298751,0.00152587890625,-0.022705078125,-1.00079345703125,812818.992086875,0.002151567721739411,-0.002199504757300019,0.0003486077766865492,812818.9946328751,298.9620361328125,-225.0758819580078,-214.8381195068359
2024-10-16 18:49:08.517 +0200,240,812819.0032797917,0.0019683837890625,-0.0243682861328125,-0.9989166259765625,812819.0020367918,-0.0005273058777675033,-0.001064998097717762,-0.001283377292566001,812819.0049117918,298.9709777832031,-225.0572814941406,-214.6985931396484
2024-10-16 18:49:08.526 +0200,241,812819.0132287918,0.0023193359375,-0.0240020751953125,-0.998260498046875,812819.0119857917,-0.001184041379019618,0.000999750685878098,-0.002424009144306183,812819.0049117918,298.9709777832031,-225.0572814941406,-214.6985931396484
2024-10-16 18:49:08.537 +0200,242,812819.0231777917,0.0024261474609375,-0.024627685546875,-0.9993133544921875,812819.0219347917,0.001014930661767721,-0.000336090917699039,-0.002002430846914649,812819.0151907917,299.0264282226562,-224.9832153320312,-214.7460327148438
2024-10-16 18:49:08.546 +0200,243,812819.0331267917,0.000335693359375,-0.0257568359375,-1.000778198242188,812819.0318837917,0.0008649947121739388,-0.00216035614721477,-0.0006596649764105678,812819.0254687917,298.9249877929688,-225.1078491210938,-214.8996429443359
2024-10-16 18:49:08.563 +0200,244,812819.0430757917,0.0034942626953125,-0.0262451171875,-0.9999542236328125,812819.0418327918,0.001233576214872301,-0.001090830774046481,-0.001673530437983572,812819.0357477918,298.7247314453125,-225.0832061767578,-214.6661987304688
2024-10-16 18:49:08.566 +0200,245,812819.0530247918,0.002532958984375,-0.02703857421875,-0.998779296875,812819.0517817917,0.0003472761891316622,-0.003183809109032154,-0.00307621737010777,812819.0460257917,298.9666442871094,-225.1394348144531,-214.7934417724609
2024-10-16 18:49:08.577 +0200,246,812819.0629737917,0.00067138671875,-0.025787353515625,-0.9991302490234375,812819.0617307917,0.002427737694233656,-0.002034655073657632,-0.00253985682502389,812819.0563037917,298.9307250976562,-225.1438140869141,-214.81103515625
2024-10-16 18:49:08.586 +0200,247,812819.0729227917,0.0027008056640625,-0.024688720703125,-0.9991302490234375,812819.0716797917,0.0008679241873323917,-0.00145621644333005,-0.002548378892242908,812819.0665827917,299.1300659179688,-224.7604064941406,-214.9347381591797
2024-10-16 18:49:08.596 +0200,248,812819.0828717917,0.001678466796875,-0.024169921875,-0.99908447265625,812819.0816287918,0.001684449380263686,-9.933590627042577e-05,0.0001794970594346523,812819.0768607918,299.1129455566406,-225.0405120849609,-215.1183471679688
2024-10-16 18:49:08.606 +0200,249,812819.0928207918,0.001708984375,-0.0251312255859375,-1.000244140625,812819.0915777917,0.0009856359101831913,-0.002625344088301063,-0.001089499215595424,812819.0871397917,299.091064453125,-224.8342590332031,-214.8780975341797
2024-10-16 18:49:08.617 +0200,250,812819.1027697917,0.00146484375,-0.024658203125,-0.99847412109375,812819.1015267917,0.001366467913612723,-0.001413872232660651,-0.001694036764092743,812819.0974187917,298.9779052734375,-225.0520935058594,-214.8980102539062
2024-10-16 18:49:08.628 +0200,251,812819.1127187917,0.0008544921875,-0.024139404296875,-0.9981842041015625,812819.1114757917,0.003085272153839469,-0.002344646956771612,-6.844323797849938e-05,812819.1076977918,299.1210632324219,-225.0491943359375,-214.9234313964844
2024-10-16 18:49:08.636 +0200,252,812819.1226677917,0.0013885498046875,-0.0245361328125,-1.000045776367188,812819.1214247918,-0.0006479470757767558,-0.003358778776600957,-0.001607750309631228,812819.1179767917,298.9207458496094,-224.90380859375,-215.1346282958984
2024-10-16 18:49:08.646 +0200,253,812819.1326167918,0.001068115234375,-0.0258331298828125,-0.9989166259765625,812819.1313737917,0.001471929135732353,-0.002288188086822629,-0.00313027948141098,812819.1282557917,298.9754638671875,-225.0697631835938,-214.6668853759766
