epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980647405,2024-11-07T12:57:27.405,0.765,0.671,-0.122,0.244
1730980647410,2024-11-07T12:57:27.410,0.770,0.549,-0.061,0.183
1730980647415,2024-11-07T12:57:27.415,0.775,0.610,-0.122,0.244
1730980647420,2024-11-07T12:57:27.420,0.780,0.671,-0.183,0.183
1730980647425,2024-11-07T12:57:27.425,0.785,0.610,-0.183,0.183
1730980647430,2024-11-07T12:57:27.430,0.790,0.732,-0.061,0.183
1730980647435,2024-11-07T12:57:27.435,0.795,0.671,0.000,0.244
1730980647440,2024-11-07T12:57:27.440,0.800,0.610,-0.061,0.305
1730980647445,2024-11-07T12:57:27.445,0.805,0.427,-0.122,0.244
1730980647450,2024-11-07T12:57:27.450,0.810,0.488,-0.122,0.244
1730980647455,2024-11-07T12:57:27.455,0.815,0.671,-0.122,0.244
1730980647460,2024-11-07T12:57:27.460,0.820,0.671,-0.183,0.305
1730980647465,2024-11-07T12:57:27.465,0.825,0.549,-0.122,0.183
1730980647470,2024-11-07T12:57:27.470,0.830,0.549,-0.122,0.183
1730980647475,2024-11-07T12:57:27.475,0.835,0.610,-0.183,0.244
1730980647480,2024-11-07T12:57:27.480,0.840,0.732,-0.122,0.305
1730980647485,2024-11-07T12:57:27.485,0.845,0.671,-0.122,0.244
1730980647490,2024-11-07T12:57:27.490,0.850,0.610,-0.061,0.183
1730980647495,2024-11-07T12:57:27.495,0.855,0.549,-0.061,0.183
1730980647500,2024-11-07T12:57:27.500,0.860,0.610,-0.122,0.183
1730980647505,2024-11-07T12:57:27.505,0.865,0.610,-0.183,0.244
1730980647510,2024-11-07T12:57:27.510,0.870,0.732,-0.183,0.305
1730980647515,2024-11-07T12:57:27.515,0.875,0.671,-0.122,0.183
1730980647520,2024-11-07T12:57:27.520,0.880,0.549,-0.122,0.183
1730980647525,2024-11-07T12:57:27.525,0.885,0.610,-0.122,0.305
1730980647530,2024-11-07T12:57:27.530,0.890,0.549,-0.061,0.244
1730980647535,2024-11-07T12:57:27.535,0.895,0.610,-0.061,0.183
1730980647540,2024-11-07T12:57:27.540,0.900,0.610,-0.061,0.244
1730980647545,2024-11-07T12:57:27.545,0.905,0.549,-0.061,0.183
1730980647550,2024-11-07T12:57:27.550,0.910,0.549,-0.061,0.244
1730980647555,2024-11-07T12:57:27.555,0.915,0.610,-0.183,0.244
1730980647560,2024-11-07T12:57:27.560,0.920,0.610,-0.122,0.183
1730980647565,2024-11-07T12:57:27.565,0.925,0.671,-0.061,0.183
1730980647570,2024-11-07T12:57:27.570,0.930,0.671,-0.122,0.183
1730980647575,2024-11-07T12:57:27.575,0.935,0.610,-0.244,0.244
1730980647580,2024-11-07T12:57:27.580,0.940,0.549,-0.183,0.305
1730980647585,2024-11-07T12:57:27.585,0.945,0.671,-0.122,0.305
1730980647590,2024-11-07T12:57:27.590,0.950,0.488,0.000,0.061
1730980647595,2024-11-07T12:57:27.595,0.955,0.488,-0.061,0.244
1730980647600,2024-11-07T12:57:27.600,0.960,0.610,-0.061,0.183
1730980647605,2024-11-07T12:57:27.605,0.965,0.549,-0.183,0.122
1730980647610,2024-11-07T12:57:27.610,0.970,0.549,-0.183,0.244
1730980647615,2024-11-07T12:57:27.615,0.975,0.671,-0.183,0.244
1730980647620,2024-11-07T12:57:27.620,0.980,0.671,-0.061,0.305
1730980647625,2024-11-07T12:57:27.625,0.985,0.549,-0.122,0.305
1730980647630,2024-11-07T12:57:27.630,0.990,0.549,-0.122,0.183
1730980647635,2024-11-07T12:57:27.635,0.995,0.549,-0.061,0.244
1730980647640,2024-11-07T12:57:27.640,1.000,0.549,-0.183,0.244
1730980647645,2024-11-07T12:57:27.645,1.005,0.488,-0.183,0.183
1730980647650,2024-11-07T12:57:27.650,1.010,0.427,-0.122,0.183
1730980647655,2024-11-07T12:57:27.655,1.015,0.671,-0.244,0.244
1730980647660,2024-11-07T12:57:27.660,1.020,0.610,-0.183,0.305
1730980647665,2024-11-07T12:57:27.665,1.025,0.549,0.000,0.366
1730980647670,2024-11-07T12:57:27.670,1.030,0.671,-0.122,0.183
1730980647675,2024-11-07T12:57:27.675,1.035,0.488,-0.122,0.183
1730980647680,2024-11-07T12:57:27.680,1.040,0.671,-0.183,0.122
1730980647685,2024-11-07T12:57:27.685,1.045,0.732,-0.244,0.244
1730980647690,2024-11-07T12:57:27.690,1.050,0.610,-0.061,0.366
1730980647695,2024-11-07T12:57:27.695,1.055,0.549,-0.122,0.305
1730980647700,2024-11-07T12:57:27.700,1.060,0.488,-0.122,0.122
1730980647705,2024-11-07T12:57:27.705,1.065,0.549,-0.183,0.122
1730980647710,2024-11-07T12:57:27.710,1.070,0.610,-0.183,0.244
1730980647715,2024-11-07T12:57:27.715,1.075,0.610,-0.122,0.244
1730980647720,2024-11-07T12:57:27.720,1.080,0.549,-0.122,0.305
1730980647725,2024-11-07T12:57:27.725,1.085,0.610,-0.183,0.427
1730980647730,2024-11-07T12:57:27.730,1.090,0.427,-0.183,0.244
1730980647735,2024-11-07T12:57:27.735,1.095,0.732,-0.122,0.183
1730980647740,2024-11-07T12:57:27.740,1.100,0.549,0.000,0.366
1730980647745,2024-11-07T12:57:27.745,1.105,0.488,-0.122,0.183
1730980647750,2024-11-07T12:57:27.750,1.110,0.488,-0.183,0.122
1730980647755,2024-11-07T12:57:27.755,1.115,0.610,-0.183,0.305
1730980647760,2024-11-07T12:57:27.760,1.120,0.610,-0.183,0.183
1730980647765,2024-11-07T12:57:27.765,1.125,0.427,-0.183,0.244
1730980647770,2024-11-07T12:57:27.770,1.130,0.549,-0.183,0.183
1730980647775,2024-11-07T12:57:27.775,1.135,0.549,-0.244,0.366
1730980647780,2024-11-07T12:57:27.780,1.140,0.549,-0.122,0.305
1730980647785,2024-11-07T12:57:27.785,1.145,0.549,-0.122,0.305
1730980647790,2024-11-07T12:57:27.790,1.150,0.732,-0.122,0.183
1730980647795,2024-11-07T12:57:27.795,1.155,0.549,-0.183,0.244
1730980647800,2024-11-07T12:57:27.800,1.160,0.488,-0.061,0.244
1730980647805,2024-11-07T12:57:27.805,1.165,0.549,0.000,0.305
1730980647810,2024-11-07T12:57:27.810,1.170,0.549,-0.122,0.183
1730980647815,2024-11-07T12:57:27.815,1.175,0.549,-0.122,0.183
1730980647820,2024-11-07T12:57:27.820,1.180,0.671,-0.061,0.183
1730980647825,2024-11-07T12:57:27.825,1.185,0.671,0.000,0.244
1730980647830,2024-11-07T12:57:27.830,1.190,0.488,-0.122,0.183
1730980647835,2024-11-07T12:57:27.835,1.195,0.610,-0.122,0.183
1730980647840,2024-11-07T12:57:27.840,1.200,0.488,-0.244,0.122
1730980647845,2024-11-07T12:57:27.845,1.205,0.427,-0.244,0.244
1730980647850,2024-11-07T12:57:27.850,1.210,0.549,-0.122,0.183
1730980647855,2024-11-07T12:57:27.855,1.215,0.549,-0.061,0.183
1730980647860,2024-11-07T12:57:27.860,1.220,0.610,-0.122,0.122
1730980647865,2024-11-07T12:57:27.865,1.225,0.610,-0.183,0.183
1730980647870,2024-11-07T12:57:27.870,1.230,0.549,-0.122,0.305
1730980647875,2024-11-07T12:57:27.875,1.235,0.732,-0.183,0.244
1730980647880,2024-11-07T12:57:27.880,1.240,0.610,-0.122,0.183
1730980647885,2024-11-07T12:57:27.885,1.245,0.488,-0.244,0.061
1730980647890,2024-11-07T12:57:27.890,1.250,0.488,-0.244,0.183
1730980647895,2024-11-07T12:57:27.895,1.255,0.488,-0.061,0.244
1730980647900,2024-11-07T12:57:27.900,1.260,0.610,-0.122,0.244
1730980647905,2024-11-07T12:57:27.905,1.265,0.610,-0.183,0.244
1730980647910,2024-11-07T12:57:27.910,1.270,0.610,-0.122,0.244
1730980647915,2024-11-07T12:57:27.915,1.275,0.671,-0.183,0.244
1730980647920,2024-11-07T12:57:27.920,1.280,0.610,-0.122,0.183
1730980647925,2024-11-07T12:57:27.925,1.285,0.671,-0.122,0.305
1730980647930,2024-11-07T12:57:27.930,1.290,0.610,-0.183,0.305
1730980647935,2024-11-07T12:57:27.935,1.295,0.671,-0.061,0.183
1730980647940,2024-11-07T12:57:27.940,1.300,0.671,-0.122,0.183
1730980647945,2024-11-07T12:57:27.945,1.305,0.549,-0.122,0.305
1730980647950,2024-11-07T12:57:27.950,1.310,0.549,-0.061,0.305
1730980647955,2024-11-07T12:57:27.955,1.315,0.610,0.061,0.183
1730980647960,2024-11-07T12:57:27.960,1.320,0.610,-0.061,0.183
1730980647965,2024-11-07T12:57:27.965,1.325,0.610,-0.122,0.061
1730980647970,2024-11-07T12:57:27.970,1.330,0.549,-0.122,0.305
1730980647975,2024-11-07T12:57:27.975,1.335,0.610,-0.183,0.183
1730980647980,2024-11-07T12:57:27.980,1.340,0.610,-0.061,0.183
1730980647985,2024-11-07T12:57:27.985,1.345,0.549,-0.061,0.244
1730980647990,2024-11-07T12:57:27.990,1.350,0.549,-0.122,0.244
1730980647995,2024-11-07T12:57:27.995,1.355,0.549,-0.061,0.183
1730980648000,2024-11-07T12:57:28.000,1.360,0.732,-0.122,0.305
1730980648005,2024-11-07T12:57:28.005,1.365,0.549,-0.061,0.183
1730980648010,2024-11-07T12:57:28.010,1.370,0.671,-0.122,0.183
1730980648015,2024-11-07T12:57:28.015,1.375,0.732,-0.061,0.305
1730980648020,2024-11-07T12:57:28.020,1.380,0.427,-0.061,0.183
1730980648025,2024-11-07T12:57:28.025,1.385,0.610,-0.122,0.122
1730980648030,2024-11-07T12:57:28.030,1.390,0.427,-0.183,0.183
1730980648035,2024-11-07T12:57:28.035,1.395,0.366,-0.122,0.183
1730980648040,2024-11-07T12:57:28.040,1.400,0.610,-0.122,0.244
1730980648045,2024-11-07T12:57:28.045,1.405,0.732,-0.183,0.305
1730980648050,2024-11-07T12:57:28.050,1.410,0.610,-0.122,0.366
1730980648055,2024-11-07T12:57:28.055,1.415,0.488,-0.061,0.305
1730980648060,2024-11-07T12:57:28.060,1.420,0.488,-0.061,0.305
1730980648065,2024-11-07T12:57:28.065,1.425,0.671,0.000,0.244
1730980648070,2024-11-07T12:57:28.070,1.430,0.488,-0.122,0.183
1730980648075,2024-11-07T12:57:28.075,1.435,0.488,-0.061,0.183
1730980648080,2024-11-07T12:57:28.080,1.440,0.610,-0.122,0.305
1730980648085,2024-11-07T12:57:28.085,1.445,0.488,-0.183,0.183
1730980648090,2024-11-07T12:57:28.090,1.450,0.671,-0.183,0.183
1730980648095,2024-11-07T12:57:28.095,1.455,0.671,-0.122,0.244
1730980648100,2024-11-07T12:57:28.100,1.460,0.488,-0.061,0.244
1730980648105,2024-11-07T12:57:28.105,1.465,0.610,-0.061,0.244
1730980648110,2024-11-07T12:57:28.110,1.470,0.732,-0.122,0.183
1730980648115,2024-11-07T12:57:28.115,1.475,0.549,-0.122,0.244
1730980648120,2024-11-07T12:57:28.120,1.480,0.549,-0.183,0.305
1730980648125,2024-11-07T12:57:28.125,1.485,0.549,-0.061,0.244
1730980648130,2024-11-07T12:57:28.130,1.490,0.732,-0.061,0.122
1730980648135,2024-11-07T12:57:28.135,1.495,0.549,-0.183,0.122
1730980648140,2024-11-07T12:57:28.140,1.500,0.488,-0.122,0.183
1730980648145,2024-11-07T12:57:28.145,1.505,0.610,-0.183,0.244
1730980648150,2024-11-07T12:57:28.150,1.510,0.610,-0.122,0.244
1730980648155,2024-11-07T12:57:28.155,1.515,0.610,-0.122,0.244
1730980648160,2024-11-07T12:57:28.160,1.520,0.488,-0.122,0.244
1730980648165,2024-11-07T12:57:28.165,1.525,0.732,-0.122,0.366
1730980648170,2024-11-07T12:57:28.170,1.530,0.610,0.000,0.244
1730980648175,2024-11-07T12:57:28.175,1.535,0.610,-0.122,0.122
1730980648180,2024-11-07T12:57:28.180,1.540,0.610,-0.183,0.122
1730980648185,2024-11-07T12:57:28.185,1.545,0.610,-0.061,0.122
1730980648190,2024-11-07T12:57:28.190,1.550,0.671,-0.244,0.183
1730980648195,2024-11-07T12:57:28.195,1.555,0.549,-0.122,0.244
1730980648200,2024-11-07T12:57:28.200,1.560,0.610,-0.061,0.183
1730980648205,2024-11-07T12:57:28.205,1.565,0.610,-0.183,0.183
1730980648210,2024-11-07T12:57:28.210,1.570,0.488,-0.183,0.244
1730980648215,2024-11-07T12:57:28.215,1.575,0.427,-0.122,0.244
1730980648220,2024-11-07T12:57:28.220,1.580,0.488,-0.183,0.305
1730980648225,2024-11-07T12:57:28.225,1.585,0.610,-0.122,0.244
1730980648230,2024-11-07T12:57:28.230,1.590,0.610,-0.244,0.244
1730980648235,2024-11-07T12:57:28.235,1.595,0.671,-0.122,0.244
1730980648240,2024-11-07T12:57:28.240,1.600,0.549,-0.183,0.183
1730980648245,2024-11-07T12:57:28.245,1.605,0.671,-0.183,0.244
1730980648250,2024-11-07T12:57:28.250,1.610,0.732,-0.061,0.122
1730980648255,2024-11-07T12:57:28.255,1.615,0.671,-0.122,0.183
1730980648260,2024-11-07T12:57:28.260,1.620,0.610,-0.183,0.183
1730980648265,2024-11-07T12:57:28.265,1.625,0.488,-0.244,0.244
1730980648270,2024-11-07T12:57:28.270,1.630,0.488,-0.183,0.183
1730980648275,2024-11-07T12:57:28.275,1.635,0.610,-0.061,0.183
1730980648280,2024-11-07T12:57:28.280,1.640,0.610,-0.183,0.305
1730980648285,2024-11-07T12:57:28.285,1.645,0.610,-0.122,0.305
1730980648290,2024-11-07T12:57:28.290,1.650,0.610,-0.183,0.244
1730980648295,2024-11-07T12:57:28.295,1.655,0.610,-0.183,0.122
1730980648300,2024-11-07T12:57:28.300,1.660,0.732,-0.122,0.122
1730980648305,2024-11-07T12:57:28.305,1.665,0.671,-0.122,0.183
1730980648310,2024-11-07T12:57:28.310,1.670,0.610,-0.122,0.244
1730980648315,2024-11-07T12:57:28.315,1.675,0.610,-0.061,0.244
1730980648320,2024-11-07T12:57:28.320,1.680,0.610,-0.061,0.244
1730980648325,2024-11-07T12:57:28.325,1.685,0.610,-0.183,0.305
1730980648330,2024-11-07T12:57:28.330,1.690,0.549,-0.122,0.244
1730980648335,2024-11-07T12:57:28.335,1.695,0.671,-0.244,0.183
1730980648340,2024-11-07T12:57:28.340,1.700,0.610,-0.183,0.122
1730980648345,2024-11-07T12:57:28.345,1.705,0.610,0.000,0.122
1730980648350,2024-11-07T12:57:28.350,1.710,0.732,-0.122,0.122
1730980648355,2024-11-07T12:57:28.355,1.715,0.488,-0.183,0.183
1730980648360,2024-11-07T12:57:28.360,1.720,0.549,-0.061,0.244
1730980648365,2024-11-07T12:57:28.365,1.725,0.671,-0.122,0.244
1730980648370,2024-11-07T12:57:28.370,1.730,0.610,-0.122,0.244
1730980648375,2024-11-07T12:57:28.375,1.735,0.610,-0.122,0.244
1730980648380,2024-11-07T12:57:28.380,1.740,0.488,-0.122,0.244
1730980648385,2024-11-07T12:57:28.385,1.745,0.488,-0.061,0.305
1730980648390,2024-11-07T12:57:28.390,1.750,0.549,-0.061,0.183
1730980648395,2024-11-07T12:57:28.395,1.755,0.549,-0.061,0.244
1730980648400,2024-11-07T12:57:28.400,1.760,0.793,-0.122,0.244
1730980648405,2024-11-07T12:57:28.405,1.765,0.488,-0.183,0.244
1730980648410,2024-11-07T12:57:28.410,1.770,0.366,-0.183,0.122
1730980648415,2024-11-07T12:57:28.415,1.775,0.549,-0.244,0.183
1730980648420,2024-11-07T12:57:28.420,1.780,0.671,-0.122,0.244
1730980648425,2024-11-07T12:57:28.425,1.785,0.488,-0.183,0.244
1730980648430,2024-11-07T12:57:28.430,1.790,0.671,-0.183,0.183
1730980648435,2024-11-07T12:57:28.435,1.795,0.671,-0.122,0.244
1730980648440,2024-11-07T12:57:28.440,1.800,0.549,-0.122,0.244
1730980648445,2024-11-07T12:57:28.445,1.805,0.732,-0.122,0.183
1730980648450,2024-11-07T12:57:28.450,1.810,0.671,-0.183,0.244
1730980648455,2024-11-07T12:57:28.455,1.815,0.732,-0.305,0.244
