epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980851137,2024-11-07T13:00:51.137,0.680,0.492,-0.095,0.290
1730980851142,2024-11-07T13:00:51.142,0.685,0.701,0.030,0.217
1730980851147,2024-11-07T13:00:51.147,0.690,0.625,-0.095,0.263
1730980851152,2024-11-07T13:00:51.152,0.695,0.572,-0.194,0.221
1730980851157,2024-11-07T13:00:51.157,0.700,0.663,-0.149,0.187
1730980851162,2024-11-07T13:00:51.162,0.705,0.595,0.034,0.324
1730980851167,2024-11-07T13:00:51.167,0.710,0.625,-0.072,0.263
1730980851172,2024-11-07T13:00:51.172,0.715,0.465,-0.187,0.175
1730980851177,2024-11-07T13:00:51.177,0.720,0.434,-0.137,0.202
1730980851182,2024-11-07T13:00:51.182,0.725,0.587,-0.183,0.171
1730980851187,2024-11-07T13:00:51.187,0.730,0.587,-0.076,0.171
1730980851192,2024-11-07T13:00:51.192,0.735,0.636,-0.023,0.293
1730980851197,2024-11-07T13:00:51.197,0.740,0.663,-0.107,0.293
1730980851202,2024-11-07T13:00:51.202,0.745,0.522,0.095,0.210
1730980851207,2024-11-07T13:00:51.207,0.750,0.633,0.027,0.286
1730980851212,2024-11-07T13:00:51.212,0.755,0.671,-0.061,0.217
1730980851217,2024-11-07T13:00:51.217,0.760,0.556,0.019,0.263
1730980851222,2024-11-07T13:00:51.222,0.765,0.610,-0.034,0.347
1730980851227,2024-11-07T13:00:51.227,0.770,0.602,-0.038,0.297
1730980851232,2024-11-07T13:00:51.232,0.775,0.598,-0.015,0.293
1730980851237,2024-11-07T13:00:51.237,0.780,0.587,0.011,0.240
1730980851242,2024-11-07T13:00:51.242,0.785,0.484,-0.008,0.274
1730980851247,2024-11-07T13:00:51.247,0.790,0.438,-0.050,0.175
1730980851252,2024-11-07T13:00:51.252,0.795,0.492,0.069,0.194
1730980851257,2024-11-07T13:00:51.257,0.800,0.522,0.145,0.244
1730980851262,2024-11-07T13:00:51.262,0.805,0.530,0.202,0.305
1730980851267,2024-11-07T13:00:51.267,0.810,0.415,0.286,0.335
1730980851272,2024-11-07T13:00:51.272,0.815,0.465,0.381,0.263
1730980851277,2024-11-07T13:00:51.277,0.820,0.206,0.381,0.191
1730980851282,2024-11-07T13:00:51.282,0.825,0.175,0.301,0.175
1730980851287,2024-11-07T13:00:51.287,0.830,0.595,0.290,0.259
1730980851292,2024-11-07T13:00:51.292,0.835,0.968,0.781,0.255
1730980851297,2024-11-07T13:00:51.297,0.840,0.819,0.400,0.267
1730980851302,2024-11-07T13:00:51.302,0.845,0.957,0.145,0.194
1730980851307,2024-11-07T13:00:51.307,0.850,0.736,0.149,0.400
1730980851312,2024-11-07T13:00:51.312,0.855,0.530,-0.232,0.286
1730980851317,2024-11-07T13:00:51.317,0.860,0.427,-0.248,0.114
